Objetivo,Horizonte,Área,Estado,Meta,Actual,Unidad,Fecha límite,Resultado clave,Cómo se mide,Notas
"Llegar a 100.000 seguidores reales",Anual,Audiencia,En curso,100000,0,Seguidores,2026-12-31,"Crecimiento neto mensual > 6.000","Insights de Instagram, primer día de cada mes","Seguidores reales, no comprados. Revisar tasa de bots trimestralmente."
"Publicar 5 piezas por semana sin excepción",Trimestral,Contenido,En curso,65,0,Piezas,2026-11-30,"13 semanas x 5 piezas","Contar filas con Estado = Publicado en el Calendario","La consistencia importa más que el pico"
"Generar 300 leads cualificados por mes",Trimestral,Negocio,En curso,300,0,Leads,2026-11-30,"100 leads/mes en el mes 1, 200 en el 2, 300 en el 3","Conversaciones iniciadas en DM que responden la segunda pregunta","Lead cualificado = respondió al menos 2 mensajes"
"Facturar 50.000 USD en el trimestre",Trimestral,Negocio,En curso,50000,0,USD,2026-11-30,"Cerrar 10 clientes de ticket medio","Registro de cobros",""
"Terminar los 4 videos del ecosistema",Mensual,Contenido,No empezado,4,0,Videos,2026-09-30,"Historia + VSL oculto + Objeciones + Prueba en vivo","Marcados como Publicado","Son activos permanentes, no contenido de feed"
"Subir la mediana de views a 10.000",Mensual,Audiencia,En curso,10000,0,Views,2026-09-30,"Mediana, no promedio: el promedio lo distorsiona un viral","Calcular sobre las piezas publicadas del mes","Si sube el promedio pero no la mediana, dependés de la suerte"
"Bajar el tiempo de edición a 45 min por pieza",Mensual,Producción,No empezado,45,90,Minutos,2026-09-30,"Plantilla de edición reutilizable + presets guardados","Cronometrar 5 piezas al azar","El tiempo ahorrado va a guion, no a más edición"
"Construir el lead magnet principal",Mensual,Negocio,No empezado,1,0,Entregable,2026-09-15,"Un entregable que valga por sí solo aunque nunca compren","Publicado y entregándose automáticamente",""
"Documentar el mecanismo con nombre propio",Trimestral,Marca,No empezado,1,0,Framework,2026-10-31,"Nombre, diagrama y explicación de 60 segundos","Página escrita en Estrategia","Sin nombre propio, el método no es tuyo"
"Cerrar 3 colaboraciones con cuentas de +50k",Trimestral,Audiencia,No empezado,3,0,Colaboraciones,2026-11-30,"1 por mes","Filas cerradas en Colaboraciones y Marcas",""
