Título,Fecha publicación,Hora,Estado,Objetivo,Plataforma,Formato,Pilar,Tema,Ángulo,Hook,CTA,Keyword,Duración (s),B-roll necesario,Idea origen,Campaña,Link publicado,Recicla,Notas
"Estás construyendo tu contenido al revés",2026-08-24,19:30,Publicado,Conversión,Instagram,Talking head editorial,Autoridad y método,Secuencia del ecosistema,Contraintuitivo,"Nadie te lo explica porque casi nadie lo entiende: estás construyendo todo tu contenido al revés","Comentá MAPA y te mando el orden completo",MAPA,42,"Timeline de edición; pizarra del embudo",El error de secuencia,—,,Sí,"Mejor ratio de comentarios del mes. Re-testear como sketch."
"Al que sabe estar solo no lo controla nadie",2026-08-25,20:00,Publicado,Alcance,Instagram,Talking head editorial,Identidad y mentalidad,Soledad y foco,Arquetipo,"Al hombre que sabe estar solo no lo controla nadie, y eso incomoda",Sin CTA,—,34,"Plano lifestyle nocturno; camino vacío",El hombre que sabe estar solo,—,,No,"Pieza de alcance puro. No mezclar con oferta."
"Cómo respondo un DM que dice cuánto sale",2026-08-26,19:00,Publicado,Conversión,Instagram,Screen recording,Autoridad y método,Ventas por DM,Demostración,"Te escriben ""cuánto sale"" y ahí perdés la venta. Mirá lo que contesto yo","Comentá DM y te paso el guion textual",DM,58,"Captura real de la bandeja de DMs",Cómo respondo un DM,—,,Sí,"Filmar la pantalla con el celular, no screen recording limpio"
"Las 2 horas antes de grabar",2026-08-27,18:30,Programado,Confianza,Instagram,Selfie crudo,Proceso y detrás de escena,Rutina de producción,Detrás de escena,"Nadie graba bien improvisando. Esto es lo que hago las 2 horas antes","Contame cuál te falta a vos",—,46,"Ninguno, todo a cámara",Lo que hago las 2 horas antes,—,,No,
"Más views o más comentarios",2026-08-28,19:30,Programado,Alcance,Instagram,Talking head editorial,Demolición de creencias,Métricas de vanidad,Dicotomía con trampa,"¿Qué es mejor: más vistas o más comentarios? Si dijiste vistas, lamento decirte que estás equivocado","Guardalo y volvé a leerlo el lunes",—,31,"Gráfico de métricas; capturas de insights",Por qué más views no es mejor,—,,No,"Cero relleno. Máximo 31s."
"Si mañana pierdo todo",2026-08-31,19:30,Edición,Conversión,Instagram,Monólogo one-take,Autoridad y método,Reconstrucción desde cero,Escenario hipotético,"Si mañana pierdo la marca, las cuentas, los seguidores y mi nombre: esto es exactamente lo que haría","Comentá RESET y te mando los 3 primeros pasos",RESET,66,"Ninguno, una sola toma",Si mañana pierdo todo,—,,No,"Toma única. Si sale bien a la primera, no repetir."
"Las 5 herramientas que me quedaron",2026-09-01,18:00,Edición,Confianza,Instagram,Carrusel,Proceso y detrás de escena,Stack de herramientas,Listicle,"Probé 17 herramientas este año. Me quedaron 5","¿Cuál usás vos? Contame abajo",—,—,"Capturas de cada herramienta",Las 5 herramientas,—,,Sí,"Sacar también versión reel del mismo material"
"El dashboard de contenido por dentro",2026-09-02,19:30,Grabación,Conversión,Instagram,Demo con pantalla,Autoridad y método,Sistema de contenido,Demostración,"Armamos todo este dashboard de contenido en 6 minutos. Te muestro cómo funciona","Comentá SISTEMA y te mando la plantilla",SISTEMA,72,"Pantalla del Notion; timeline",Cómo se ve mi calendario,Lanzamiento plantilla,,No,"Esta pieza es el pilar de la campaña de lanzamiento"
"Me dijo que no y volvió a los 4 meses",2026-09-03,20:00,Grabación,Conversión,Instagram,Monólogo one-take,Prueba y resultados,Casos de clientes,Historia,"Me dijo que no. Volvió 4 meses después y pagó el doble","Escribime EMPIEZO si te está pasando lo mismo",EMPIEZO,54,"Captura del chat anonimizada",El cliente que me dijo que no,—,,No,"Confirmar permiso o anonimizar del todo"
"Publicar todos los días no es estrategia",2026-09-04,19:00,Guion,Alcance,Instagram,Talking head editorial,Demolición de creencias,Frecuencia de publicación,Negación-contraste,"Subir todos los días es exactamente la razón por la que estás estancado","Guardalo antes de programar la semana",—,38,"Calendario saturado; feed en scroll",Publicar todos los días,—,,No,"Aclarar el matiz para no contradecir la propia cadencia"
"Lo que nadie te cuenta del primer año",2026-09-07,20:00,Guion,Alcance,Instagram,Selfie crudo,Identidad y mentalidad,El costo de crecer,Confesional,"Nadie te cuenta esto del primer año y por eso la mayoría abandona en el mes 7",Sin CTA,—,44,"Ninguno",Lo que nadie te cuenta,—,,No,
"La única pregunta de la primera llamada",2026-09-08,19:30,Ángulo,Conversión,Instagram,Talking head editorial,Autoridad y método,Ventas,Micro-táctica,"Hay una sola pregunta en la primera llamada. Todo el resto es ruido","Comentá LLAMADA y te la mando",LLAMADA,36,"Setup de llamada; libreta",La pregunta que hago,—,,No,
"Apertura de la plantilla de contenido",2026-09-09,19:30,Ángulo,Conversión,Instagram,Reel-póster,Prueba y resultados,Lanzamiento,Oferta directa,"Abrimos la plantilla que uso todos los días. 48 horas","Link en bio",—,18,"Mockup del Notion",—,Lanzamiento plantilla,,No,"Pieza de campaña. No es contenido de valor, es anuncio."
"Los 3 videos que venden",2026-09-10,19:00,Idea,Conversión,Instagram,Sketch role-play,Autoridad y método,Ecosistema,Sketch,"Hey, ¿tenés un minuto para decirme cómo hago para vender sin publicar todos los días?","Comentá VIDEOS y te mando los 3",VIDEOS,58,"Exterior; segunda persona en cámara",El error de secuencia,Lanzamiento plantilla,,No,"Mismo mensaje que el reel del 24-08 en otro formato. Comparar alcance."
"Cierre de plantilla + resultados",2026-09-11,20:00,Idea,Conversión,Instagram,Talking head editorial,Prueba y resultados,Lanzamiento,Cierre,"Cerramos en 6 horas y te quiero contar qué pasó","Link en bio hasta las 23:59",—,40,"Capturas de resultados y mensajes",—,Lanzamiento plantilla,,No,
