Formato,Familia,Trabajo,Cortes/10s,Esfuerzo,Duración típica,Plataforma,Qué necesita,Cuándo usarlo,Error clásico
One-take crudo / escena,A. Crudo,Alcance,0,Bajo,30-180 s,Instagram,"Una cámara, una locación real, guion memorizado","Cuando el guion es tan bueno que la edición sólo lo arruinaría","Repetir la toma 20 veces hasta que suene actuado"
Monólogo con titular fijo,A. Crudo,Alcance,0,Bajo,30-60 s,Instagram,"Cámara fija, banda de texto arriba o letterbox","Para opiniones fuertes con una sola idea","Titular demasiado largo para leer en 2 segundos"
Selfie crudo lifestyle,A. Crudo,Confianza,0-2,Muy bajo,20-60 s,Instagram,"Solo el celular en la mano","Detrás de escena, rutina, pensamiento del día","Grabarlo en un lugar sin contexto visual"
Texto fijo sobre plano,B. Estático,Alcance,0-3,Muy bajo,6-15 s,Instagram,"Un plano lindo + una frase","Aforismos, frases identitarias, remates","Frase genérica que ya viste 40 veces"
Reel-póster de conversión,B. Estático,Conversión,0,Muy bajo,10-20 s,Instagram,"Imagen fija + texto grande + caption largo","Anuncios de campaña y aperturas de carrito","Usarlo como si fuera contenido de valor"
Carrusel,B. Estático,Confianza,—,Bajo,6-10 slides,Instagram,"Diseño consistente, primera slide con hook","Listas, procesos paso a paso, capturas de prueba","Primera slide sin hook"
Clip de podcast letterboxed,C. Extracto,Confianza,0,Bajo,30-90 s,Instagram,"Grabación de podcast + subtítulo serif","Reciclar contenido largo sin costo extra","Elegir el clip por lo que dijiste, no por dónde arranca"
Demo con pantalla,D. Demostración,Conversión,0-1,Medio,45-120 s,Instagram,"Screen recording o filmar el monitor","Mostrar el sistema o la herramienta funcionando","Pantalla ilegible en vertical"
Sketch role-play,D. Demostración,Conversión,2-6,Medio,45-70 s,Instagram,"Segunda persona o cambio de plano por personaje","Máximo ratio de comentarios. El CTA vive dentro de la ficción","Romper la cuarta pared para pedir el comentario"
Documental / exposé,E. Editorial,Alcance,2-3,Alto,60-180 s,Instagram,"Archivo, capturas, voz en off","Contar una historia o desarmar a alguien con pruebas","Acusar sin material que lo respalde"
Talking head editorial,E. Editorial,Alcance o conversión,7-30,Alto,25-60 s,Instagram,"Subtítulos palabra por palabra, b-roll, tipografía fuerte","Cuando el mensaje necesita ritmo para no aburrir","Editar de más una pieza que iba a hacer alcance"
Clase corta / pizarra,D. Demostración,Conversión,0-2,Medio,60-120 s,YouTube,"Pizarra, iPad o diagrama","Explicar el mecanismo completo con calma","Empezar por la teoría en vez del resultado"
Vlog corto,A. Crudo,Confianza,1-3,Medio,60-180 s,YouTube,"Varias locaciones del mismo día","Mostrar el proceso real de un día de trabajo","Grabar todo y no tener una historia"
Video de historia (ecosistema),F. Activo permanente,Confianza,0-3,Alto,3-8 min,YouTube,"Guion trabajado, buena luz, buen audio","Se hace una vez y trabaja siempre","Hacerlo sobre vos y no sobre el espectador"
VSL oculto (ecosistema),F. Activo permanente,Conversión,0-2,Alto,8-20 min,Página propia,"Guion de venta que no parece venta","Explicar el mecanismo y el servicio","Que se note que es una carta de ventas"
Video de objeciones (ecosistema),F. Activo permanente,Conversión,0-3,Alto,5-12 min,Página propia,"Las 5 objeciones reales de tus clientes","Desarmar el ""no"" antes de la llamada","Inventar objeciones en vez de usar las reales"
