Idea,Estado,Score,Pilar,Tema,Ángulo,Formato sugerido,Plataforma,Hook borrador,Fuente,Fecha captura,Notas
"El error de secuencia: todos empiezan por lo masivo",Madura,5,Autoridad y método,Secuencia del ecosistema,Contraintuitivo,Talking head editorial,Instagram,"Estás construyendo todo tu contenido al revés y nadie te lo dijo",Pregunta repetida en DMs,2026-08-24,"Es el mensaje madre. Probar en 3 formatos distintos antes de descartarlo."
"Por qué más views no es mejor que más comentarios",Madura,4,Demolición de creencias,Métricas de vanidad,Dicotomía con trampa,Talking head editorial,Instagram,"¿Qué es mejor: más vistas o más comentarios? Si dijiste vistas, lamento decirte que estás equivocado",Comentario de un seguidor,2026-08-24,"Cerrar con la métrica que sí importa según el objetivo de cada pieza"
"Lo que hago las 2 horas antes de grabar",Madura,4,Proceso y detrás de escena,Rutina de producción,Detrás de escena,Selfie crudo,Instagram,"Nadie graba bien improvisando. Esto es lo que hago las 2 horas antes",Idea propia,2026-08-24,"Grabar el mismo día que se ejecute la rutina, no reconstruirla"
"Si mañana pierdo todo, esto es lo que haría",Madura,5,Autoridad y método,Reconstrucción desde cero,Escenario hipotético,Monólogo one-take,Instagram,"Si mañana pierdo la marca, las cuentas, los seguidores y mi nombre: esto es exactamente lo que haría",Idea propia,2026-08-24,"Formato de altísima conversión a comentario aunque el alcance sea medio"
"El hombre que sabe estar solo",Cruda,3,Identidad y mentalidad,Soledad y foco,Arquetipo,Talking head editorial,Instagram,"Al que sabe estar solo no lo controla nadie, y eso incomoda",Idea propia,2026-08-24,"Pieza de puro alcance. Sin CTA."
"Cómo respondo un DM que dice ""cuánto sale""",Cruda,4,Autoridad y método,Ventas por DM,Demostración,Screen recording,Instagram,"Te escriben ""cuánto sale"" y ahí perdés la venta. Mirá",Situación real,2026-08-24,"Grabar la pantalla del celular real, no un mockup"
"Las 5 herramientas que uso y las 12 que dejé",Cruda,3,Proceso y detrás de escena,Stack de herramientas,Listicle,Carrusel,Instagram,"Probé 17 herramientas este año. Me quedaron 5",Idea propia,2026-08-24,"Puede ser carrusel + reel del mismo material"
"El cliente que me dijo que no y volvió a los 4 meses",Cruda,4,Prueba y resultados,Casos de clientes,Historia,Monólogo one-take,Instagram,"Me dijo que no. Volvió 4 meses después y pagó el doble",Caso real,2026-08-24,"Pedir permiso o anonimizar"
"Publicar todos los días no es una estrategia",Cruda,4,Demolición de creencias,Frecuencia de publicación,Negación-contraste,Talking head editorial,Instagram,"Subir todos los días es exactamente la razón por la que estás estancado",Idea propia,2026-08-24,"Cuidado: no contradecir la propia cadencia. Aclarar el matiz."
"Cómo se ve mi calendario de contenido por dentro",Cruda,5,Autoridad y método,Sistema de contenido,Demostración,Demo con pantalla,Instagram,"Recientemente armamos todo este dashboard de contenido en 6 minutos",Sistema propio,2026-08-24,"Alto potencial de conversión: el sistema mismo es el lead magnet"
"La pregunta que hago en la primera llamada",Cruda,3,Autoridad y método,Ventas,Micro-táctica,Talking head editorial,Instagram,"Hay una sola pregunta en la primera llamada. El resto es ruido",Idea propia,2026-08-24,
"Lo que nadie te cuenta del primer año",Cruda,3,Identidad y mentalidad,El costo de crecer,Confesional,Selfie crudo,Instagram,"Nadie te cuenta esto del primer año y por eso la mayoría abandona en el mes 7",Idea propia,2026-08-24,
"Formato archivado de ejemplo",Archivada,1,Demolición de creencias,—,—,—,Instagram,—,—,2026-08-24,"Fila de ejemplo para ver cómo se ve el estado Archivada. Borrala."
