Semana,Semana (inicio),Plataforma,Piezas publicadas,Views,Mediana de views,Likes,Comentarios,Guardados,Compartidos,Seguidores nuevos,Leads / DMs,Mejor pieza,Peor pieza,Aprendizaje de la semana,Decisión para la próxima
S35 2026,2026-08-24,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S36 2026,2026-08-31,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S37 2026,2026-09-07,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S38 2026,2026-09-14,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S39 2026,2026-09-21,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S40 2026,2026-09-28,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S41 2026,2026-10-05,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S42 2026,2026-10-12,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S43 2026,2026-10-19,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S44 2026,2026-10-26,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S45 2026,2026-11-02,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S46 2026,2026-11-09,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
S47 2026,2026-11-16,Instagram,5,0,0,0,0,0,0,0,0,,,"",""
