Hook (plantilla),Familia,Intención,Potencia,Pilar sugerido,Ejemplo aplicado,Por qué funciona,Cuidado
"¿Tenés dos minutos para decirme cómo hago [RESULTADO CONCRETO CON CIFRA]?",Pregunta con cifra,Conversión,5,Autoridad y método,"¿Tenés dos minutos para decirme cómo facturar más de 50.000 con mi marca personal?","La cifra ancla y la pregunta es literalmente la que el espectador se hace","La cifra tiene que ser creíble para tu nivel actual"
"Hey, ¿tenés un minuto? Necesito que me digas [PROBLEMA DEL AVATAR]",Sketch role-play,Conversión,5,Autoridad y método,"Hey, ¿tenés un minuto? Me faltan agendas, ¿qué puedo hacer?","Interpretás al avatar y el espectador se ve a sí mismo preguntando","Necesita segunda persona o buen corte de cámara"
"Nadie te lo explica porque casi nadie lo entiende: estás haciendo [X] al revés",Negación-contraste,Alcance de nicho,5,Demolición de creencias,"Estás construyendo todo tu contenido al revés","Combina superioridad informativa con absolución: no es tu culpa","No lo uses dos veces el mismo mes"
"[PRÁCTICA COMÚN] murió. Seguir haciéndolo en [AÑO] es lo peor que podés hacer",Profecía,Alcance de nicho,4,Demolición de creencias,"Los funnels tradicionales murieron. Venderlos en 2027 es lo peor que podés hacer","Miedo + fecha + posicionamiento del enemigo","Tenés que sostenerlo con argumento o suena a humo"
"¿Qué es mejor: [A] o [B]? Si dijiste [A], lamento decirte que estás equivocado",Dicotomía con trampa,Alcance de nicho,4,Demolición de creencias,"¿Más vistas o más comentarios?","Cualquier respuesta mental te mete adentro del video","La respuesta correcta tiene que ser realmente defendible"
"Cuidado con el que [CONDUCTA]. No se le escapa nada",Arquetipo identitario,Alcance masivo,5,Identidad y mentalidad,"Cuidado con el que piensa demasiado","Le da al espectador una identidad que quiere reclamar","Cero CTA. Pedir algo mata este formato"
"Al que [CONDUCTA] no lo controla nadie, y eso incomoda",Arquetipo identitario,Alcance masivo,4,Identidad y mentalidad,"Al que sabe estar solo no lo controla nadie","Orgullo + enemigo difuso = comparte","Puede sonar vacío si no hay contenido detrás"
"[COSA INESPERADA] me generó [CIFRA] en menos de [TIEMPO CORTO]",Dato impactante,Alcance,5,Prueba y resultados,"Mi perro me generó 1.500 dólares en menos de 60 minutos","La incongruencia obliga a resolver el gap","Tiene que ser verdad y explicable en el video"
"Trabajé con [NOMBRE], [NOMBRE] y [NOMBRE]. ¿Querés saber cómo los cerré?",Autoridad + loop,Alcance,5,Prueba y resultados,"Cinco nombres verificables en 6 segundos","Prueba social densa y rápida + loop abierto","Necesitás nombres reconocibles y permiso"
"Si mañana pierdo [TODO LO QUE TENGO], esto es exactamente lo que haría",Escenario hipotético,Conversión,5,Autoridad y método,"Si mañana pierdo la marca, las cuentas y mi nombre","Vulnerabilidad + método comprimido. Conversión altísima a comentario","Alcance medio: no esperes viral"
"Recientemente hicimos [RESULTADO VISIBLE] en [TIEMPO CORTO]. Te muestro",Demostración,Conversión,5,Autoridad y método,"Armamos todo este dashboard en 6 minutos","Ver el resultado funcionando vale más que explicarlo","Requiere pantalla o proceso grabado"
"Nunca [CONSEJO 1]. [CONSEJO 2]. Si no podés [X], no lo hagas",Listicle-ametralladora,Alcance,4,Identidad y mentalidad,"Nunca financies un auto. Vestite como si fueras pobre","La lista ES el hook: sin promesa, puro ritmo","Cada línea tiene que poder existir sola"
"Todos vivimos esto: [SITUACIÓN COTIDIANA MUY ESPECÍFICA]",Relatable,Alcance,4,Identidad y mentalidad,"Le escribís a alguien, no te contesta, y a los 5 minutos sube historias","El reconocimiento inmediato retiene los primeros 3 segundos","Cuanto más específico, mejor. Lo genérico no funciona"
"Nunca conté esto, pero [CONFESIÓN]",Confesional,Confianza,3,Proceso y detrás de escena,"Nunca conté por qué cerré mi primera agencia","Baja la guardia y humaniza","Se gasta rápido. Máximo 1 por mes"
"Destapando [CATEGORÍA], parte uno. Y esta vez le toca a [NOMBRE]",Exposé,Alcance,5,Demolición de creencias,"Destapando infoproductores, parte uno","Escándalo + formato serie = retención y expectativa","Riesgo reputacional y legal alto. Usar con criterio"
"¿A qué [X] apuntar? No importa. ¿Cuántos [Y]? No importa.",Ráfaga de negaciones,Alcance de nicho,4,Demolición de creencias,"¿A qué nicho apuntar? No importa. ¿Cuántos posteos al día? No importa","Desarma cinco preguntas comunes en 8 segundos y promete lo que sí importa","Tenés que entregar el ""lo que sí importa"" rápido"
"Hay una sola [COSA] que importa. El resto es ruido",Reducción,Conversión,4,Autoridad y método,"Hay una sola pregunta en la primera llamada","Promete simplicidad en un nicho saturado de complejidad","Después tenés que sostener que efectivamente es una sola"
"Los [GRUPO DE ÉLITE] pagan fortunas por algo invisible, y es lo que te falta",Curiosity gap,Alcance,4,Autoridad y método,"Los deportistas de élite pagan fortunas por algo invisible","Autoridad prestada + gap que tarda 20 segundos en cerrar","No cierres el gap antes de tiempo"
"Nadie te cuenta esto de [ETAPA] y por eso la mayoría abandona en [MOMENTO]",Advertencia empática,Confianza,3,Identidad y mentalidad,"Nadie te cuenta esto del primer año","Valida una frustración real antes de dar la solución","Evitar el tono de lástima"
"Contestá honesto: ¿preferís [OPCIÓN CARA] o [OPCIÓN DE ESFUERZO]? Tu respuesta te delata",Dicotomía con trampa,Alcance de nicho,4,Demolición de creencias,"¿Otro curso de 5.000 o contenido gratis y ejecutar como un animal?","""Te delata"" agrega juicio y obliga a quedarse a ver de qué lado quedó","Cuidado de no insultar a tu propio comprador"
